SmasherID,SmashTag,BWeek1,BWeek2,BWeek3,BWeek4,BWeek5,BWeek6,BWeek7
1234414,Paran,NAN,NAN,NAN,NAN,NAN,NAN,9.0
1248621,Anzeray,1,1,1.0,1.0,1.0,1.0,1.0
1273646,PierreLuk,NAN,NAN,NAN,NAN,NAN,NAN,1.0
1278457,Rocket,48,48,48.0,48.0,48.0,48.0,48.0
1290774,Honey Nut Cheerios,NAN,NAN,1.0,1.0,1.0,1.0,1.0
1298609,Beck,NAN,NAN,NAN,10.0,13.0,17.0,24.0
1342054,butterfli,NAN,NAN,NAN,NAN,NAN,NAN,1.0
1375808,Epoodle,6,80,107.0,110.0,110.0,110.0,117.0
1379261,S.O.D.A,NAN,NAN,NAN,NAN,3.0,7.0,7.0
1388856,SHRD#209 | Shredder,NAN,NAN,NAN,NAN,NAN,NAN,7.0
1395471,MIB | handsofgnatz,NAN,NAN,NAN,NAN,NAN,NAN,3.0
1432189,nunoodle,1,1,1.0,1.0,1.0,1.0,1.0
1442352,BK_Rib,NAN,2,4.0,4.0,4.0,4.0,4.0
1451042,Deeb,4,4,4.0,4.0,4.0,4.0,4.0
1465414,ruco,NAN,NAN,2.0,2.0,2.0,2.0,2.0
1466521,Floods,NAN,NAN,2.0,2.0,5.0,7.0,7.0
1500084,Ariz,NAN,2,2.0,2.0,2.0,2.0,2.0
1501041,Hamburglar,NAN,NAN,NAN,NAN,NAN,3.0,3.0
1524828,Dhar Mann | Ben Snape,NAN,NAN,NAN,NAN,11.0,11.0,33.0
1533315,Essey,NAN,NAN,NAN,3.0,4.0,7.0,8.0
1562196,EagleOne,NAN,1,1.0,1.0,1.0,1.0,1.0
1585998,Arkdael,NAN,NAN,NAN,NAN,NAN,1.0,1.0
1591811,Venus,NAN,NAN,NAN,NAN,1.0,1.0,1.0
1597235,Peyton,NAN,NAN,NAN,NAN,NAN,NAN,4.0
1598204,YoungHanSolo,3,3,12.0,22.0,22.0,22.0,22.0
1619463,Arctic,NAN,1,1.0,2.0,2.0,2.0,2.0
1619505,keeg,NAN,NAN,NAN,NAN,NAN,1.0,1.0
1621804,Malcolm X,NAN,NAN,NAN,NAN,NAN,NAN,2.0
1640788,Special K,1,1,2.0,4.0,6.0,8.0,9.0
1653242,Jquinnsweg,NAN,NAN,NAN,1.0,1.0,1.0,1.0
1655337,Drewski,NAN,NAN,NAN,NAN,3.0,3.0,3.0
1656950,Bonn Esports | CarlHank,NAN,NAN,NAN,NAN,7.0,7.0,14.0
1658710,boip,NAN,NAN,NAN,NAN,1.0,1.0,3.0
1658777,CrazyColtCory,NAN,2,2.0,2.0,2.0,2.0,2.0
1691247,TheYoungMC,NAN,NAN,NAN,NAN,8.0,8.0,8.0
1718754,PEPIS | lagoonies,NAN,NAN,NAN,NAN,5.0,5.0,5.0
1723399,jeddo,15,15,15.0,15.0,15.0,15.0,15.0
1729667,SlickSiwik,NAN,NAN,NAN,3.0,3.0,3.0,3.0
1736473,PJThePuff,NAN,NAN,NAN,NAN,8.0,8.0,8.0
1737518,Kombeze Ataie,NAN,NAN,NAN,NAN,NAN,5.0,5.0
1752009,djweav2k,NAN,NAN,1.0,1.0,1.0,1.0,1.0
1796764,Mp drago,NAN,1,2.0,3.0,3.0,3.0,3.0
1800785,Canoe,NAN,NAN,NAN,NAN,1.0,2.0,2.0
1806216,Guhbs,NAN,NAN,NAN,NAN,NAN,NAN,2.0
1807916,Shlorp,NAN,NAN,2.0,2.0,2.0,2.0,2.0
1816060,FKA Minerali,NAN,NAN,NAN,NAN,11.0,20.0,20.0
1844994,Flame,NAN,NAN,NAN,NAN,2.0,2.0,4.0
1871538,Not_DuduTsai,19,19,19.0,19.0,19.0,19.0,19.0
1881044,t0tal90,NAN,NAN,NAN,4.0,6.0,6.0,6.0
1888179,BrophyT,NAN,NAN,NAN,NAN,1.0,1.0,1.0
1906382,KatBot,NAN,NAN,NAN,NAN,2.0,2.0,2.0
1915328,Arthao,NAN,NAN,NAN,1.0,1.0,1.0,1.0
1918686,Analog,NAN,4,5.0,5.0,5.0,5.0,5.0
1918774,EWA | Gorgonzola,NAN,6,6.0,6.0,6.0,11.0,11.0
1931799,Supreme.Noobs | Edicus,NAN,NAN,NAN,NAN,1.0,1.0,1.0
1931842,tpyo,NAN,NAN,4.0,4.0,4.0,4.0,6.0
1940854,JoffDuchar,3,3,3.0,3.0,3.0,3.0,4.0
1940872,Spenny,NAN,NAN,NAN,NAN,NAN,2.0,2.0
1942273,Fankriss,NAN,NAN,46.0,46.0,54.0,54.0,54.0
1944467,SUPERUNKNOWN,2,3,3.0,6.0,6.0,7.0,7.0
1946855,PRD | JMi,NAN,1,1.0,1.0,1.0,1.0,1.0
1956142,maxhoney,NAN,NAN,NAN,9.0,9.0,9.0,9.0
1957918,Cow,14,17,17.0,29.0,72.0,83.0,83.0
1966716,LewdCelebs4Free,6,6,6.0,6.0,6.0,6.0,6.0
1974127,aujory,2,6,10.0,10.0,10.0,10.0,18.0
1974143,Jeem,1,1,1.0,1.0,1.0,1.0,1.0
1986398,Fruitility,NAN,NAN,NAN,NAN,NAN,NAN,1.0
1989729,Nips,NAN,1,1.0,1.0,1.0,1.0,1.0
2004464,Rama,NAN,2,2.0,2.0,2.0,2.0,2.0
2019913,jatpuan,NAN,NAN,NAN,NAN,NAN,NAN,2.0
2021066,Schweppes,NAN,NAN,NAN,NAN,NAN,NAN,1.0
2026283,SereneDoge#4725,NAN,NAN,NAN,1.0,1.0,1.0,1.0
2029721,Ghost Rider,9,9,9.0,9.0,36.0,36.0,59.0
2033482,Reiky,NAN,NAN,NAN,NAN,7.0,7.0,7.0
2041350,2rk | Turok,3,3,3.0,3.0,3.0,3.0,3.0
2053276,#215 | Ogre,NAN,NAN,NAN,4.0,4.0,4.0,4.0
2056830,NAIR | Pablo,NAN,NAN,NAN,NAN,1.0,1.0,1.0
2056881,PotusTheGoatus,NAN,NAN,NAN,NAN,1.0,1.0,1.0
2058200,Kuzon,NAN,NAN,NAN,NAN,NAN,4.0,4.0
2058790,Butternust,NAN,NAN,NAN,5.0,10.0,10.0,10.0
2084281,Keykey,3,3,3.0,3.0,3.0,3.0,3.0
2085246,kippu,NAN,4,4.0,4.0,4.0,4.0,4.0
2088626,hermionecraft,NAN,NAN,NAN,NAN,NAN,NAN,5.0
2093540,RitzyCheese,3,3,3.0,3.0,3.0,3.0,3.0
2117535,vel,NAN,NAN,NAN,1.0,1.0,1.0,1.0
2122811,$W@6 | rocketf20,NAN,NAN,1.0,1.0,1.0,1.0,1.0
2139949,Devin1300,NAN,NAN,NAN,4.0,4.0,6.0,6.0
2139952,Boalisk,NAN,NAN,1.0,8.0,8.0,8.0,8.0
2140092,Jet,2,2,2.0,2.0,2.0,2.0,2.0
2141139,Dr. Dipper,NAN,NAN,NAN,3.0,3.0,7.0,7.0
2146437,actually hmhh | LionTimeMachine,1,1,13.0,20.0,25.0,26.0,29.0
2147280,slowtai,NAN,NAN,NAN,11.0,11.0,11.0,11.0
2148389,LilTayNastyTay,NAN,NAN,NAN,NAN,NAN,4.0,4.0
2148920,thicceon,NAN,NAN,10.0,10.0,10.0,10.0,10.0
2149543,BoominBody,NAN,NAN,NAN,2.0,2.0,2.0,2.0
2160161,GAS,7,7,7.0,7.0,7.0,7.0,7.0
2161547,DenverDaDestroyer,NAN,NAN,NAN,NAN,NAN,8.0,8.0
2163048,MK | RedSoul,NAN,NAN,NAN,NAN,2.0,2.0,2.0
2170469,Triple Cake Dance,5,8,8.0,8.0,8.0,8.0,8.0
2177428,Chuchaka2112,NAN,NAN,NAN,13.0,13.0,13.0,13.0
2179108,Mud,16,16,28.0,28.0,28.0,59.0,59.0
2192126,NattyIce,1,4,5.0,5.0,7.0,7.0,7.0
2194031,Dorian uwu,NAN,NAN,1.0,1.0,1.0,1.0,1.0
2206263,nmble-mann,NAN,1,1.0,1.0,1.0,1.0,1.0
2207286,davidparkpark,NAN,NAN,NAN,NAN,NAN,NAN,3.0
2215703,DiMaria,NAN,8,14.0,14.0,14.0,14.0,14.0
2221234,LordTourettes,NAN,NAN,NAN,NAN,NAN,6.0,6.0
2233473,fssong,NAN,NAN,3.0,3.0,4.0,4.0,4.0
2242538,Erica,13,13,13.0,13.0,13.0,13.0,13.0
2244671,scmu,NAN,NAN,NAN,NAN,NAN,NAN,3.0
2245020,enterthekiwi,NAN,NAN,NAN,NAN,6.0,10.0,10.0
2251343,ClintStevensTV | HungryboxFan304,NAN,NAN,12.0,12.0,12.0,12.0,12.0
2258693,Jbun,NAN,NAN,NAN,NAN,NAN,1.0,1.0
2262562,me,NAN,NAN,NAN,1.0,1.0,1.0,1.0
2263926,Robot,NAN,NAN,NAN,NAN,NAN,NAN,9.0
2264748,bunnygirlsenpai,NAN,NAN,NAN,2.0,5.0,5.0,5.0
2264917,Mobley,NAN,NAN,NAN,1.0,1.0,1.0,1.0
2265424,Zolof,NAN,NAN,NAN,8.0,8.0,8.0,8.0
2265774,boys,NAN,NAN,NAN,1.0,2.0,2.0,2.0
2266162,2GATS,NAN,NAN,NAN,1.0,1.0,1.0,1.0
2267517,H20,NAN,NAN,NAN,NAN,NAN,NAN,2.0
2269490,GGS,NAN,NAN,NAN,NAN,64.0,108.0,108.0
2270838,Sol | | Saturn,NAN,NAN,NAN,NAN,4.0,4.0,4.0
2271152,purpp,NAN,NAN,NAN,NAN,6.0,6.0,6.0
2272366,CyAn,NAN,NAN,NAN,NAN,2.0,2.0,2.0
2276067,Dead C,NAN,NAN,NAN,NAN,NAN,2.0,2.0
2276931,BowserDad1964,NAN,NAN,NAN,NAN,NAN,4.0,4.0
